	feature_id	feature_frequency	sample-id	run-number	community	composition
141	0b7809b1b04598cfc5bbf6264159dde9	1253.0	R46-16E18E-2	46	Mixed	16E18S
142	b079d9bfa3d84b0bdc2c1398d247150e	6.0	R46-16E18E-2	46	Mixed	16E18S
143	863728e1cec6befd5ba02d15baef4c36	2063.0	R46-16E18E-2	46	Mixed	16E18S
144	2970af3e30642198ba1dfa1f304f310b	2598.0	R46-16E18E-2	46	Mixed	16E18S
145	bdf18e8980906003f3978e5ee578c9ea	1515.0	R46-16E18E-2	46	Mixed	16E18S
146	9c0fe787b120b62b93c3cb46d844d9fa	2933.0	R46-16E18E-2	46	Mixed	16E18S
147	20a0d2f150b3312772f5c00e54fd7baf	3000.0	R46-16E18E-2	46	Mixed	16E18S
148	86cd70d2450e3f44f4a7c543f53008ee	1817.0	R46-16E18E-2	46	Mixed	16E18S
149	0b7809b1b04598cfc5bbf6264159dde9	2699.0	R46-16E18E-2	46	Mixed	16E18S
150	32debaa2edfdd6b9fcefff9d65ff740f	2085.0	R46-16E18E-2	46	Mixed	16E18S
151	167b5b3eeed0f9b502f7f1f245d5116c	1919.0	R46-16E18E-2	46	Mixed	16E18S
152	b8b0859fd6afcfc39c1a7e6a50415ca3	1721.0	R46-16E18E-2	46	Mixed	16E18S
153	f4ad315ec51d8bee23cb39f39bc8b019	1164.0	R46-16E18E-2	46	Mixed	16E18S
154	b079d9bfa3d84b0bdc2c1398d247150e	8.0	R46-16E18E-2	46	Mixed	16E18S
155	27ca2b8f287c3a7e4d864cc870cf67b7	0.0	R46-16E18E-2	46	Mixed	16E18S
156	863728e1cec6befd5ba02d15baef4c36	63.0	R46-16E18E-2	46	Mixed	16E18S
157	20a0d2f150b3312772f5c00e54fd7baf	33.0	R46-16E18E-2	46	Mixed	16E18S
158	2970af3e30642198ba1dfa1f304f310b	13.0	R46-16E18E-2	46	Mixed	16E18S
159	f4ad315ec51d8bee23cb39f39bc8b019	0.0	R46-16E18E-2	46	Mixed	16E18S
160	167b5b3eeed0f9b502f7f1f245d5116c	0.0	R46-16E18E-2	46	Mixed	16E18S
161	bfecc653b69f29a3370e1ea7c4f70092	0.0	R46-16E18E-2	46	Mixed	16E18S
162	32debaa2edfdd6b9fcefff9d65ff740f	0.0	R46-16E18E-2	46	Mixed	16E18S
163	86cd70d2450e3f44f4a7c543f53008ee	0.0	R46-16E18E-2	46	Mixed	16E18S
164	9c0fe787b120b62b93c3cb46d844d9fa	0.0	R46-16E18E-2	46	Mixed	16E18S
165	863728e1cec6befd5ba02d15baef4c36	1734.0	R46-16E18E-2	46	Mixed	16E18S
166	2970af3e30642198ba1dfa1f304f310b	1453.0	R46-16E18E-2	46	Mixed	16E18S
167	20a0d2f150b3312772f5c00e54fd7baf	2466.0	R46-16E18E-2	46	Mixed	16E18S
168	32debaa2edfdd6b9fcefff9d65ff740f	1863.0	R46-16E18E-2	46	Mixed	16E18S
169	86cd70d2450e3f44f4a7c543f53008ee	1299.0	R46-16E18E-2	46	Mixed	16E18S
170	9c0fe787b120b62b93c3cb46d844d9fa	1839.0	R46-16E18E-2	46	Mixed	16E18S
171	bdf18e8980906003f3978e5ee578c9ea	759.0	R46-16E18E-2	46	Mixed	16E18S
172	167b5b3eeed0f9b502f7f1f245d5116c	1662.0	R46-16E18E-2	46	Mixed	16E18S
173	f4ad315ec51d8bee23cb39f39bc8b019	1060.0	R46-16E18E-2	46	Mixed	16E18S
174	0b7809b1b04598cfc5bbf6264159dde9	1307.0	R46-16E18E-2	46	Mixed	16E18S
175	b8b0859fd6afcfc39c1a7e6a50415ca3	1230.0	R46-16E18E-2	46	Mixed	16E18S
176	fe7a53debb1bd2da901c38b2573b0e8f	3.0	R46-16E18E-2	46	Mixed	16E18S
177	404108c5df72cab1a8d97e3e7d04aa32	0.0	R46-16E18E-2	46	Mixed	16E18S
178	f4ad315ec51d8bee23cb39f39bc8b019	1120.0	R46-16E18E-2	46	Mixed	16E18S
179	97e5f1c914878790ca60bca8f5ea97ae	0.0	R46-16E18E-2	46	Mixed	16E18S
180	a86179a4d0702089c6aeae1d1f15e7c9	0.0	R46-16E18E-2	46	Mixed	16E18S
181	6d31b404ba814f5fae841405ce5a11a2	0.0	R46-16E18E-2	46	Mixed	16E18S
182	13a7ff9738200ab6e9dc4313f6d3c4f1	0.0	R46-16E18E-2	46	Mixed	16E18S
183	5f65ee521fe9ae88b8868b4d43fdb631	0.0	R46-16E18E-2	46	Mixed	16E18S
184	137df3095cdfefbb99e8bf3fcef67779	0.0	R46-16E18E-2	46	Mixed	16E18S
185	de97868f121754f2ebc90f11639ed774	0.0	R46-16E18E-2	46	Mixed	16E18S
186	8304c810bbe46931d9ff50d02fe6a503	0.0	R46-16E18E-2	46	Mixed	16E18S
187	888916f51df6d16fac0c528abd6f2da7	0.0	R46-16E18E-2	46	Mixed	16E18S
188	cbd00270fccee05821459f5850357236	0.0	R46-16E18E-2	46	Mixed	16E18S
189	46cbbe6aed5251ff8720821e504da189	0.0	R46-16E18E-2	46	Mixed	16E18S
190	cb9550b49b21a0c788ad46201f0c4531	0.0	R46-16E18E-2	46	Mixed	16E18S
191	ce5b0d851ffb10d679973cb3b6e76dee	0.0	R46-16E18E-2	46	Mixed	16E18S
